data,CLOUD,IP,PRICE,LATENCY,JITTER
12.04.21-10:10:28,openstack2,10.159.205.12,5,5,0
12.04.21-10:10:36,openstack2,10.159.205.12,5,5,0
12.04.21-10:10:50,openstack2,10.159.205.12,5,5,0
12.04.21-10:10:57,openstack2,10.159.205.12,5,5,0
12.04.21-10:11:04,openstack2,10.159.205.12,5,5,0
12.04.21-10:11:12,openstack2,10.159.205.12,6,6,0
12.04.21-10:11:20,openstack2,10.159.205.12,5,5,0
12.04.21-10:11:27,openstack2,10.159.205.12,5,5,0
12.04.21-10:11:35,openstack2,10.159.205.12,9,9,0
12.04.21-10:11:43,openstack2,10.159.205.12,5,5,0
12.04.21-10:15:12,openstack2,10.159.205.12,5,5,0
12.04.21-10:15:21,openstack2,10.159.205.12,5,5,0
12.04.21-10:15:32,openstack2,10.159.205.12,7,7,0
12.04.21-10:15:41,openstack2,10.159.205.12,6,6,0
12.04.21-10:15:53,openstack2,10.159.205.12,5,5,0
12.04.21-10:16:13,openstack2,10.159.205.12,5,5,0
12.04.21-10:16:21,openstack2,10.159.205.12,6,6,0
12.04.21-10:16:29,openstack2,10.159.205.12,6,6,0
12.04.21-10:16:37,openstack2,10.159.205.12,6,6,0
12.04.21-10:16:46,openstack2,10.159.205.12,5,5,0
12.04.21-10:16:56,openstack2,10.159.205.12,7,7,0
12.04.21-10:17:04,openstack2,10.159.205.12,6,6,0
12.04.21-10:17:11,openstack2,10.159.205.12,7,7,0
12.04.21-10:17:19,openstack2,10.159.205.12,6,6,0
12.04.21-10:17:34,openstack2,10.159.205.12,5,5,0
12.04.21-10:17:42,openstack2,10.159.205.12,7,7,0
12.04.21-10:17:50,openstack2,10.159.205.12,5,5,0
12.04.21-10:17:58,openstack2,10.159.205.12,5,5,0
12.04.21-10:18:05,openstack2,10.159.205.12,5,5,0
12.04.21-10:18:18,openstack2,10.159.205.12,6,6,0
12.04.21-10:18:25,openstack2,10.159.205.12,6,6,0
12.04.21-10:18:33,openstack2,10.159.205.12,5,5,0
12.04.21-10:18:42,openstack2,10.159.205.12,5,5,0
