data,CLOUD,IP,PRICE,LATENCY,JITTER
12.04.21-09:53:41,openstack2,10.159.205.12,5,5,0
12.04.21-09:53:49,openstack2,10.159.205.12,4,4,0
12.04.21-09:53:56,openstack2,10.159.205.12,5,5,0
12.04.21-09:54:04,openstack2,10.159.205.12,5,5,0
12.04.21-09:54:16,openstack2,10.159.205.12,5,5,0
12.04.21-09:54:27,openstack2,10.159.205.12,9,9,0
12.04.21-09:54:40,openstack2,10.159.205.12,5,5,0
12.04.21-09:54:50,openstack2,10.159.205.12,5,5,0
12.04.21-09:55:01,openstack2,10.159.205.12,5,5,0
12.04.21-09:55:13,openstack2,10.159.205.12,6,6,0
12.04.21-09:55:21,openstack2,10.159.205.12,5,5,0
12.04.21-09:55:29,openstack2,10.159.205.12,5,5,0
12.04.21-09:55:36,openstack2,10.159.205.12,6,6,0
12.04.21-09:55:44,openstack2,10.159.205.12,5,5,0
12.04.21-09:55:52,openstack2,10.159.205.12,9,9,0
12.04.21-09:55:59,openstack2,10.159.205.12,5,5,0
12.04.21-09:56:07,openstack2,10.159.205.12,5,5,0
12.04.21-09:56:18,openstack2,10.159.205.12,5,5,0
12.04.21-09:56:25,openstack2,10.159.205.12,5,5,0
12.04.21-09:56:32,openstack2,10.159.205.12,5,5,0
12.04.21-09:56:40,openstack2,10.159.205.12,5,5,0
12.04.21-09:56:48,openstack2,10.159.205.12,5,5,0
12.04.21-09:56:55,openstack2,10.159.205.12,5,5,0
12.04.21-09:57:02,openstack2,10.159.205.12,5,5,0
12.04.21-09:57:09,openstack2,10.159.205.12,5,5,0
12.04.21-09:58:33,openstack2,10.159.205.12,17,17,0
12.04.21-09:58:41,openstack2,10.159.205.12,16,16,0
12.04.21-09:58:48,openstack2,10.159.205.12,17,17,0
12.04.21-09:58:55,openstack2,10.159.205.12,16,16,0
12.04.21-09:59:03,openstack2,10.159.205.12,15,15,0
12.04.21-09:59:15,openstack2,10.159.205.12,15,15,0
12.04.21-09:59:27,openstack2,10.159.205.12,18,18,0
12.04.21-09:59:39,openstack2,10.159.205.12,15,15,0
12.04.21-09:59:51,openstack2,10.159.205.12,16,16,0
12.04.21-10:00:03,openstack2,10.159.205.12,16,16,0
12.04.21-10:00:16,openstack2,10.159.205.12,17,17,0
12.04.21-10:00:25,openstack2,10.159.205.12,16,16,0
12.04.21-10:00:32,openstack2,10.159.205.12,16,16,0
12.04.21-10:00:39,openstack2,10.159.205.12,17,17,0
12.04.21-10:00:52,openstack2,10.159.205.12,16,16,0
12.04.21-10:00:59,openstack2,10.159.205.12,16,16,0
12.04.21-10:01:06,openstack2,10.159.205.12,18,18,0
12.04.21-10:01:14,openstack2,10.159.205.12,16,16,0
12.04.21-10:01:29,openstack2,10.159.205.12,16,16,0
12.04.21-10:01:37,openstack2,10.159.205.12,16,16,0
12.04.21-10:01:44,openstack2,10.159.205.12,17,17,0
12.04.21-10:01:52,openstack2,10.159.205.12,16,16,0
12.04.21-10:01:59,openstack2,10.159.205.12,15,15,0
12.04.21-10:03:26,openstack2,10.159.205.12,4,4,0
12.04.21-10:03:34,openstack2,10.159.205.12,5,5,0
12.04.21-10:03:43,openstack2,10.159.205.12,5,5,0
12.04.21-10:03:51,openstack2,10.159.205.12,4,4,0
12.04.21-10:04:03,openstack2,10.159.205.12,4,4,0
12.04.21-10:04:15,openstack2,10.159.205.12,5,5,0
12.04.21-10:04:27,openstack2,10.159.205.12,6,6,0
12.04.21-10:04:38,openstack2,10.159.205.12,8,8,0
12.04.21-10:04:50,openstack2,10.159.205.12,5,5,0
12.04.21-10:04:57,openstack2,10.159.205.12,5,5,0
12.04.21-10:05:05,openstack2,10.159.205.12,5,5,0
12.04.21-10:05:12,openstack2,10.159.205.12,5,5,0
12.04.21-10:05:19,openstack2,10.159.205.12,6,6,0
12.04.21-10:05:34,openstack2,10.159.205.12,7,7,0
12.04.21-10:05:42,openstack2,10.159.205.12,5,5,0
12.04.21-10:05:49,openstack2,10.159.205.12,5,5,0
12.04.21-10:05:57,openstack2,10.159.205.12,5,5,0
12.04.21-10:06:09,openstack2,10.159.205.12,5,5,0
12.04.21-10:06:17,openstack2,10.159.205.12,5,5,0
12.04.21-10:06:24,openstack2,10.159.205.12,5,5,0
12.04.21-10:06:32,openstack2,10.159.205.12,5,5,0
12.04.21-10:06:43,openstack2,10.159.205.12,5,5,0
12.04.21-10:06:51,openstack2,10.159.205.12,5,5,0
12.04.21-10:08:20,openstack2,10.159.205.12,4,4,0
12.04.21-10:08:28,openstack2,10.159.205.12,5,5,0
12.04.21-10:08:35,openstack2,10.159.205.12,5,5,0
12.04.21-10:08:43,openstack2,10.159.205.12,4,4,0
12.04.21-10:08:55,openstack2,10.159.205.12,5,5,0
12.04.21-10:09:07,openstack2,10.159.205.12,4,4,0
12.04.21-10:09:17,openstack2,10.159.205.12,5,5,0
12.04.21-10:09:34,openstack2,10.159.205.12,5,5,0
12.04.21-10:09:46,openstack2,10.159.205.12,5,5,0
12.04.21-10:09:56,openstack2,10.159.205.12,5,5,0
12.04.21-10:10:05,openstack2,10.159.205.12,5,5,0
12.04.21-10:10:13,openstack2,10.159.205.12,6,6,0
12.04.21-10:10:20,openstack2,10.159.205.12,5,5,0
