data,CLOUD,IP,CPU,MEMORY,NVM,VCPU,MEMORYC,DISCKC
12.04.21-09:53:34,openstack2,10.159.205.12,0,0,0,0,0,0
12.04.21-09:53:41,openstack2,10.159.205.12,10,24,0,0,7,0
12.04.21-09:53:49,openstack2,10.159.205.12,22,24,0,0,7,0
12.04.21-09:53:56,openstack2,10.159.205.12,19,24,0,0,7,0
12.04.21-09:54:04,openstack2,10.159.205.12,13,24,0,0,7,0
12.04.21-09:54:16,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-09:54:27,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-09:54:40,openstack2,10.159.205.12,26,24,0,0,7,0
12.04.21-09:54:50,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-09:55:01,openstack2,10.159.205.12,23,24,1,25,13,6
12.04.21-09:55:13,openstack2,10.159.205.12,50,25,1,25,13,6
12.04.21-09:55:21,openstack2,10.159.205.12,50,25,1,25,13,6
12.04.21-09:55:29,openstack2,10.159.205.12,49,26,1,25,13,6
12.04.21-09:55:36,openstack2,10.159.205.12,47,26,1,25,13,6
12.04.21-09:55:44,openstack2,10.159.205.12,54,26,1,25,13,6
12.04.21-09:55:52,openstack2,10.159.205.12,46,27,1,25,13,6
12.04.21-09:55:59,openstack2,10.159.205.12,49,27,1,25,13,6
12.04.21-09:56:07,openstack2,10.159.205.12,58,28,1,25,13,6
12.04.21-09:56:18,openstack2,10.159.205.12,41,30,1,25,13,6
12.04.21-09:56:25,openstack2,10.159.205.12,52,32,1,25,13,6
12.04.21-09:56:32,openstack2,10.159.205.12,64,33,1,25,13,6
12.04.21-09:56:40,openstack2,10.159.205.12,58,35,1,25,13,6
12.04.21-09:56:48,openstack2,10.159.205.12,50,36,1,25,13,6
12.04.21-09:56:55,openstack2,10.159.205.12,46,36,1,25,13,6
12.04.21-09:57:02,openstack2,10.159.205.12,57,38,1,25,13,6
12.04.21-09:57:09,openstack2,10.159.205.12,56,39,1,25,13,6
12.04.21-09:58:26,openstack2,10.159.205.12,0,0,0,0,0,0
12.04.21-09:58:33,openstack2,10.159.205.12,26,24,0,0,7,0
12.04.21-09:58:41,openstack2,10.159.205.12,34,24,0,0,7,0
12.04.21-09:58:48,openstack2,10.159.205.12,27,24,0,0,7,0
12.04.21-09:58:55,openstack2,10.159.205.12,19,24,0,0,7,0
12.04.21-09:59:03,openstack2,10.159.205.12,36,24,0,0,7,0
12.04.21-09:59:15,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-09:59:27,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-09:59:39,openstack2,10.159.205.12,6,24,0,0,7,0
12.04.21-09:59:51,openstack2,10.159.205.12,26,24,1,25,13,12
12.04.21-10:00:03,openstack2,10.159.205.12,36,24,2,50,20,12
12.04.21-10:00:16,openstack2,10.159.205.12,46,26,2,50,20,12
12.04.21-10:00:25,openstack2,10.159.205.12,93,27,2,50,20,12
12.04.21-10:00:32,openstack2,10.159.205.12,70,27,2,50,20,12
12.04.21-10:00:39,openstack2,10.159.205.12,79,28,2,50,20,12
12.04.21-10:00:52,openstack2,10.159.205.12,60,28,2,50,20,12
12.04.21-10:00:59,openstack2,10.159.205.12,65,29,2,50,20,12
12.04.21-10:01:06,openstack2,10.159.205.12,80,30,2,50,20,12
12.04.21-10:01:14,openstack2,10.159.205.12,92,32,2,50,20,12
12.04.21-10:01:29,openstack2,10.159.205.12,70,34,2,50,20,12
12.04.21-10:01:37,openstack2,10.159.205.12,77,38,2,50,20,12
12.04.21-10:01:44,openstack2,10.159.205.12,81,41,2,50,20,12
12.04.21-10:01:52,openstack2,10.159.205.12,70,42,2,50,20,12
12.04.21-10:01:59,openstack2,10.159.205.12,76,45,2,50,20,12
12.04.21-10:03:18,openstack2,10.159.205.12,0,0,0,0,0,0
12.04.21-10:03:26,openstack2,10.159.205.12,23,24,0,0,7,0
12.04.21-10:03:34,openstack2,10.159.205.12,27,24,0,0,7,0
12.04.21-10:03:43,openstack2,10.159.205.12,19,24,0,0,7,0
12.04.21-10:03:51,openstack2,10.159.205.12,22,24,0,0,7,0
12.04.21-10:04:03,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-10:04:15,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-10:04:27,openstack2,10.159.205.12,21,24,0,0,7,0
12.04.21-10:04:38,openstack2,10.159.205.12,28,24,0,0,7,0
12.04.21-10:04:50,openstack2,10.159.205.12,22,24,1,25,13,6
12.04.21-10:04:57,openstack2,10.159.205.12,50,25,1,25,13,6
12.04.21-10:05:05,openstack2,10.159.205.12,59,26,1,25,13,6
12.04.21-10:05:12,openstack2,10.159.205.12,49,26,1,25,13,6
12.04.21-10:05:19,openstack2,10.159.205.12,53,26,1,25,13,6
12.04.21-10:05:34,openstack2,10.159.205.12,40,26,1,25,13,6
12.04.21-10:05:42,openstack2,10.159.205.12,49,28,1,25,13,6
12.04.21-10:05:49,openstack2,10.159.205.12,50,28,1,25,13,6
12.04.21-10:05:57,openstack2,10.159.205.12,36,30,1,25,13,6
12.04.21-10:06:09,openstack2,10.159.205.12,52,32,1,25,13,6
12.04.21-10:06:17,openstack2,10.159.205.12,37,34,1,25,13,6
12.04.21-10:06:24,openstack2,10.159.205.12,32,35,1,25,13,6
12.04.21-10:06:32,openstack2,10.159.205.12,29,36,1,25,13,6
12.04.21-10:06:43,openstack2,10.159.205.12,54,37,1,25,13,6
12.04.21-10:06:51,openstack2,10.159.205.12,42,39,1,25,13,6
12.04.21-10:08:12,openstack2,10.159.205.12,0,0,0,0,0,0
12.04.21-10:08:20,openstack2,10.159.205.12,21,24,0,0,7,0
12.04.21-10:08:28,openstack2,10.159.205.12,24,24,0,0,7,0
12.04.21-10:08:35,openstack2,10.159.205.12,18,24,0,0,7,0
12.04.21-10:08:43,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-10:08:55,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-10:09:07,openstack2,10.159.205.12,20,24,0,0,7,0
12.04.21-10:09:17,openstack2,10.159.205.12,24,24,0,0,7,0
12.04.21-10:09:34,openstack2,10.159.205.12,20,24,0,0,13,6
12.04.21-10:09:46,openstack2,10.159.205.12,24,24,2,50,20,12
12.04.21-10:09:56,openstack2,10.159.205.12,55,25,2,50,20,12
12.04.21-10:10:05,openstack2,10.159.205.12,73,26,2,50,20,12
12.04.21-10:10:13,openstack2,10.159.205.12,57,27,2,50,20,12
12.04.21-10:10:20,openstack2,10.159.205.12,67,27,2,50,20,12
12.04.21-10:10:28,openstack2,10.159.205.12,71,28,2,50,20,12
12.04.21-10:10:36,openstack2,10.159.205.12,72,28,2,50,20,12
12.04.21-10:10:50,openstack2,10.159.205.12,79,29,2,50,20,12
12.04.21-10:10:57,openstack2,10.159.205.12,70,31,2,50,20,12
12.04.21-10:11:04,openstack2,10.159.205.12,73,32,2,50,20,12
12.04.21-10:11:12,openstack2,10.159.205.12,64,34,2,50,20,12
12.04.21-10:11:20,openstack2,10.159.205.12,62,37,2,50,20,12
12.04.21-10:11:27,openstack2,10.159.205.12,73,40,2,50,20,12
12.04.21-10:11:35,openstack2,10.159.205.12,75,42,2,50,20,12
12.04.21-10:11:43,openstack2,10.159.205.12,63,44,2,50,20,12
12.04.21-10:15:04,openstack2,10.159.205.12,0,0,0,0,0,0
12.04.21-10:15:12,openstack2,10.159.205.12,99,36,4,100,33,23
12.04.21-10:15:21,openstack2,10.159.205.12,98,38,4,100,33,23
12.04.21-10:15:32,openstack2,10.159.205.12,97,41,4,100,33,23
12.04.21-10:15:41,openstack2,10.159.205.12,99,43,4,100,33,23
12.04.21-10:15:53,openstack2,10.159.205.12,20,46,4,100,33,23
12.04.21-10:16:13,openstack2,10.159.205.12,20,53,4,100,33,23
12.04.21-10:16:21,openstack2,10.159.205.12,100,57,4,100,33,23
12.04.21-10:16:29,openstack2,10.159.205.12,98,60,4,100,33,23
12.04.21-10:16:37,openstack2,10.159.205.12,99,63,4,100,33,23
12.04.21-10:16:46,openstack2,10.159.205.12,96,65,4,100,33,23
12.04.21-10:16:56,openstack2,10.159.205.12,99,69,4,100,33,23
12.04.21-10:17:04,openstack2,10.159.205.12,99,72,4,100,33,23
12.04.21-10:17:11,openstack2,10.159.205.12,99,74,4,100,33,23
12.04.21-10:17:19,openstack2,10.159.205.12,96,77,4,100,33,23
12.04.21-10:17:34,openstack2,10.159.205.12,98,78,4,100,33,23
12.04.21-10:17:42,openstack2,10.159.205.12,100,82,4,100,33,23
12.04.21-10:17:50,openstack2,10.159.205.12,97,84,4,100,33,23
12.04.21-10:17:58,openstack2,10.159.205.12,100,86,4,100,33,23
12.04.21-10:18:05,openstack2,10.159.205.12,94,86,4,100,33,23
12.04.21-10:18:18,openstack2,10.159.205.12,100,88,4,100,33,23
12.04.21-10:18:25,openstack2,10.159.205.12,96,89,4,100,33,23
12.04.21-10:18:33,openstack2,10.159.205.12,100,90,4,100,33,23
12.04.21-10:18:42,openstack2,10.159.205.12,98,91,4,100,33,23
